Tweet,Keluhan,Respon,Other,
"RT @TadjiUINBdg: @ridwankamil lapor pak, mobil ni 2x buang sampah ke pinggir jalan sepanjang jalan sersan bajuri no. 24 https://t.co/t9NHcX…",Ya,,,
"Bonbin bandung agak kurang terawat, kasian sama hewan hewannya. Pak @ridwankamil coba bonbin bandung di bikin kayak singapore zoo",Ya,,,
"Pak @ridwankamil,sy pnya saran angkot 08 dan Antapani yg Coklat dilebur sj. tp arah trayeknya dibagi 2 kyk Cimbeuleuit dl.",,,Ya,
"RT @TadjiUINBdg: @ridwankamil lapor pak, mobil ni 2x buang sampah ke pinggir jalan sepanjang jalan sersan bajuri no. 24 https://t.co/t9NHcX…",Ya,,,
"@ridwankamil pak sya lg mau pulang naek diangkot cheum- ledeng, ad ibu2 sma bpak2 ngmongin bpak tp tenang koq pak ngmongin nya yg baik2^^",,,-,
@dishub_kotabdg sepertinya yang membuat jlnan macet adlah prmptan. Hrsnya ada jambtn lyang ditiap perempatan. @ridwankamil,Ya,,,
"@infobdg kalau macet begini, di lihat di depannya, karena apa macetnya? angkot/bus ngetem? pasti ada sumber titik macetnya @ridwankamil",Ya,,,
#SaurWargi @reckythea: tolg ad seorang wanita d jl eikman tiap pg jam 9 suka loncat k tngh jln ambil kunci mtr dgn tebusan 10rb @Satpolppbdg,Ya,,,
@BimaAryaS @DiskominfoBdg @dishub_jabar @dishub_kotabdg mendukung rencana badan hukum angkot. jgn sampai kasus metromini tjd nanti di bgr,,,Ya,
RT @se_bdg: #SaurWargi @reckythea: tolg ad seorang wanita d jl eikman tiap pg jam 9 suka loncat k tngh jln ambil kunci mtr dgn tebusan 10rb…,Ya,,,
"@EL_Atheos @hendronurkholis @ridwankamil he he, perempuan itu sebelumnya dh ditanya sama rk, dah nikah pa masih single",,,Ya,
"Punten, saya baru denger beritanya .. apa sudah ditertibkan modus mengambil kunci motor ? @Satpolppbdg @PRFMnews https://t.co/S1d5jf1LaO",,,Ya,
Min @dbmpkotabdg kalau dilihat dari foto di bawah ini sebenarnya Jl Cemara memiliki trotoar ga ya? Tx. https://t.co/5uOaccX6SH,,,Ya,
RT @soowooBDG: Min @dbmpkotabdg kalau dilihat dari foto di bawah ini sebenarnya Jl Cemara memiliki trotoar ga ya? Tx. https://t.co/5uOaccX6…,,,Ya,
"@ridwankamil @Satpolppbdg Mohon diamankan Pa Ogah per4an Pasar Suci Cihaurgeulis,  membuat jalan Suci macet total &amp; kacau.  Nuhun PERHATIANA",Ya,,,
"@ridwankamil @dbmpkotabdg Mohon dipasang tiang utk LAMPU MERAH DI PER4AN PASAR SUCI,  CIHAURGEULIS.  SERING TERJADI MACET TOTAL @IWGinting",Ya,,,
"Setuju ini, sepanjang jl riau banyak yg parkir. Malah ada yg di trotoar juga :(( @ridwankamil  https://t.co/aNqS5ONcZi",Ya,,,
@pjudbmpbdg ass pak kiaracondong masih bnyk lampu jalan yg mati bbk sari.1mohon di perbaiki @Kec_Kircon @Kel_BabakanSari @ridwankamil,Ya,,,
Pak wali upami angkot di bandung kumaha nasibna? Di jakarta metromini tos jadi korban @ridwankamil,,,Ya,
"RT @TadjiUINBdg: @ridwankamil lapor pak, mobil ni 2x buang sampah ke pinggir jalan sepanjang jalan sersan bajuri no. 24 https://t.co/t9NHcX…",Ya,,,
"RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC Cibeunying,  pengerukan saluran jl Veteran - jl Sunda https://…",,Ya,,
"RT @TadjiUINBdg: @ridwankamil lapor pak, mobil ni 2x buang sampah ke pinggir jalan sepanjang jalan sersan bajuri no. 24 https://t.co/t9NHcX…",Ya,,,
"RT @toekang_sate: Pak @ridwankamil iyeu jalmi anu ngabalaan jalan di kota Bandung,ngabagikeun pamplet tapi di awur2 di jalan. https://t.co/…",Ya,,,
"#WartaBDG Lebih tegas, @dishub_kotabdg Evaluasi Sistem Gembok Parkir https://t.co/F9vGwDxZFm @IWGinting @ridwankamil https://t.co/hQC2JeKtnm",,,Ya,
"RT @se_bdg: #WartaBDG Lebih tegas, @dishub_kotabdg Evaluasi Sistem Gembok Parkir https://t.co/F9vGwDxZFm @IWGinting @ridwankamil https://t.…",,,Ya,
"RT @se_bdg: #WartaBDG Lebih tegas, @dishub_kotabdg Evaluasi Sistem Gembok Parkir https://t.co/F9vGwDxZFm @IWGinting @ridwankamil https://t.…",,,Ya,
"RT @se_bdg: #WartaBDG Lebih tegas, @dishub_kotabdg Evaluasi Sistem Gembok Parkir https://t.co/F9vGwDxZFm @IWGinting @ridwankamil https://t.…",,,Ya,
"RT @se_bdg: #WartaBDG Lebih tegas, @dishub_kotabdg Evaluasi Sistem Gembok Parkir https://t.co/F9vGwDxZFm @IWGinting @ridwankamil https://t.…",,,Ya,
"RT @se_bdg: #WartaBDG Lebih tegas, @dishub_kotabdg Evaluasi Sistem Gembok Parkir https://t.co/F9vGwDxZFm @IWGinting @ridwankamil https://t.…",,,Ya,
"RT @se_bdg: #WartaBDG Lebih tegas, @dishub_kotabdg Evaluasi Sistem Gembok Parkir https://t.co/F9vGwDxZFm @IWGinting @ridwankamil https://t.…",,,Ya,
@ridwankamil anak kecil ajah jalan2 pke helm masa yang naik motor engga ?!!! :) eta maksad na mah panginteun pakk,,,Ya,
"RT @se_bdg: #WartaBDG Lebih tegas, @dishub_kotabdg Evaluasi Sistem Gembok Parkir https://t.co/F9vGwDxZFm @IWGinting @ridwankamil https://t.…",,,Ya,
@ridwankamil lieur lah kang ningali nu meuntas di bip padahal jambatan ngajegir mani gede jeung mani hese hoyong mapah di trotoar di bec teh,Ya,,,
"RT @se_bdg: #WartaBDG Lebih tegas, @dishub_kotabdg Evaluasi Sistem Gembok Parkir https://t.co/F9vGwDxZFm @IWGinting @ridwankamil https://t.…",,,Ya,
"RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC Bojonagara, lanjutan pengerukan saluran jl Sukawarna Br https:…",,Ya,,
"RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC Bojonagara, lanjutan perbaikan jl dr eyckman https://t.co/xrdK…",,Ya,,
"RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC Bojonagara, pemasangan ubin difabel jl Cicendo https://t.co/Tg…",,Ya,,
"RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC Tegallega, pemasangan plat beton saluran jl Moch Toha https://…",,Ya,,
"RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC Ujungberung,  pengerukan saluran jl Golf Selatan I https://t.c…",,Ya,,
"RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC Gedebage,  pengerukan saluran jl Sukarno Hatta https://t.co/bN…",,Ya,,
"RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC Cibeunying,  pengerukan saluran jl Veteran - jl Sunda https://…",,Ya,,
"RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC Cibeunying, lanjutan prbaikan kirmir sal jl Gudang Utara https…",,Ya,,
"RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC Bojonagara,  pengangkutan sendimen jl Sukawarna Baru https://t…",,Ya,,
"RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC Bojonagara, pemasangan ubin difabel jl Cicendo https://t.co/Tg…",,Ya,,
"RT @PRFMnews: cc @distarcipBDG  RT  @saudarasanusi Penyangga gedung ini mengkhawatirkan deh pak @ridwankamil,takut roboh https://t.co/ILPnY…",Ya,,,
"@dbmpkotabdg lampu penerangan jalan di sepanjang jalan bima kel.arjuna kec.cicendo mati, hawatir rawan. Hatur nuhun https://t.co/5CkCjc9CUW",Ya,,,
"RT @se_bdg: #WartaBDG Lebih tegas, @dishub_kotabdg Evaluasi Sistem Gembok Parkir https://t.co/F9vGwDxZFm @IWGinting @ridwankamil https://t.…",,,Ya,
"Kirmir kali cicadas rw13 kel bbksurabaya longsor, mhn bantuan @dbmpkotabdg cc @ridwankamil @OdedMD @yossiirianto https://t.co/Q1ilQH9uLP",Ya,,,
@dbmpkotabdg  Hatur nuhun URC Gedebage atas pengerukan Saluran Merkuri Kel. Manjahlega https://t.co/FBwSrKhJwu,,Ya,,
Tiap hari lewat bolak balik pa @ridwankamil uang habis buat bayar jalan aja ini mah ???????? ga ada cara lain ? https://t.co/fydVITBqVv,Ya,,,
"ayo pesan sendal bulunya..all size IDR 30K, hangat &amp; nyaman di kaki @ridwankamil @infobdg @PRFMnews @MemeComicIndo https://t.co/iaX1cMqxdG",,,Ya,
Tikungan dari  jl wastu kencana belok ke arah gd pakuan. @infobandung @dbmpkotabdg @galamedianews @PRFMnews https://t.co/48Bm45CoTQ,,,Ya,
Bpk @ridwankamil dompet sy dcopet d angkot cheum-ldng pk ??. spt.a copet.a bkrjasama sm spr agkt.a pak. Skg sy jd wanita tnp identitas pak??,Ya,,,
"@ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC PJU, perbaikan lampu PJU jl Ir H Djuanda https://t.co/QQe1womk1d",,,Ya,
"@ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC PJU, perbaikan lampu PJU jl Rumah Sakit https://t.co/jHrc2WSiNW",,Ya,,
"jln jend sudirman dkt suryani ad cafe, mbl parkir dijln n naek trotoar pdhl ad rambu dilrng parkir @dbmpkotabdg @dishub_kotabdg @ridwankamil",Ya,,,
CC @dbmpkotabdg @infobandung: Hati-hati tweeps. RT @jurnalbdg Tikungan dari jl wastu kencana belok ke arah gd pakuan https://t.co/awjVJYCAGZ,,,Ya,
RT @Rescue_Damkar: CC @dbmpkotabdg @infobandung: Hati-hati tweeps. RT @jurnalbdg Tikungan dari jl wastu kencana belok ke arah gd pakuan htt…,,,Ya,
"@pdamtirtawening : Dari nmr pelanggan 00A06600370, Margahayu Raya J-II-37, mohon info sudah beberapa hari air tidak keluar.",Ya,,,
Lapor pak @ridwankamil kmaren malem 20desember temen saya kena bacok oleh 7motor di jl lodaya(lapangan soft ball) https://t.co/UTfZOk3ThE,Ya,,,
"RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC Bojonagara, tindaklanjut lap gundukan pasir jl dr Otten https:…",,Ya,,
"RT @pdkebersihanbdg: Seperti inilah kondisi jl menuju Tpa, mohon maaf atas kenyamanannya @diasudiana @giwanghimawan1 @ridwankamil https://t…",Ya,,,
"RT @pdkebersihanbdg: Seperti inilah kondisi jl menuju Tpa, mohon maaf atas kenyamanannya @diasudiana @giwanghimawan1 @ridwankamil https://t…",Ya,,,
"RT @pdkebersihanbdg: Di informsikn kpd wargi Bandung atas ktrlambatan pengngktan sampah diTPS, krn jln ke arah TPA mcet cc: @ridwankamil ht…",,,Ya,
"Kang @ridwankamil , hatur nuhun ya jalur lalin Cipaganti dicat. Skr jd enak klo dinas malem (jalannya lbh jelas krn mencrang jalur lalinnya)",,,Ya,
"RT @pdkebersihanbdg: Di informsikn kpd wargi Bandung atas ktrlambatan pengngktan sampah diTPS, krn jln ke arah TPA mcet cc: @ridwankamil ht…",,,Ya,
"RT @pdkebersihanbdg: Seperti inilah kondisi jl menuju Tpa, mohon maaf atas kenyamanannya @diasudiana @giwanghimawan1 @ridwankamil https://t…",,,Ya,
"RT @MojangPolppBDG: (15/12) Giat penjangkauan PMKS Jl. Peta, perempatan Kopo. Oleh Tranmas Rukendi &amp; URC. Pukul 10.30. @Satpolppbdg https:/…",,Ya,,
"RT @TadjiUINBdg: @ridwankamil lapor pak, mobil ni 2x buang sampah ke pinggir jalan sepanjang jalan sersan bajuri no. 24 https://t.co/t9NHcX…",Ya,,,
@PRFMnews @infobandung  @pdamtirtawening  knpa air pdam di daerah tubagus ismail depan rt05 rw08 tidak menggalir dah 2 minggu,Ya,,,
"RT @toekang_sate: Pak @ridwankamil iyeu jalmi anu ngabalaan jalan di kota Bandung,ngabagikeun pamplet tapi di awur2 di jalan. https://t.co/…",Ya,,,
Apa kabar @pdamtirtawening? Airnya ngalir k mana ya? Di RW 11 @Kel_Cicaheum teu aya bae. @ridwankamil @PRFMnews @se_bdg @OdedMD @marcommpr,Ya,,,
"@pdkebersihanbdg di Pasar Suci, baru masuk udah disambut bak sampah gede. Masa hal kaya gini ga kepikiran ngeganggu atau ngga?? @ridwankamil",Ya,,,
RT @ahmad_chm: Apa kabar @pdamtirtawening? Airnya ngalir k mana ya? Di RW 11 @Kel_Cicaheum teu aya bae. @ridwankamil @PRFMnews @se_bdg @Ode…,Ya,,,
@ridwankamil pak program pembangunan untuk Bandung Timur ditahun 2016 ada apa saja ?  :),,,Ya,
tetapi hari ini masih boleh akan terjadi pada hari esok. @Bandung_Dinkes,,,Ya,
@pdamtirtawening nuhun tos ngocor meski cuma malam yg punya air,,,Ya,
"RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC PJU, perbaikan lampu hight mast tegallega https://t.co/LAbD1pe…",,Ya,,
"RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC PJU, perbaikan lampu PJU jl Geusan Ulun https://t.co/lO3ww6TNd8",,Ya,,
"RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC PJU, perbaikan lampu PJU jl Ir H Djuanda https://t.co/QQe1womk…",,Ya,,
"RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC PJU, perbaikan lampu PJU jl Jamika https://t.co/jMPcrpU8l6",,Ya,,
"RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC PJU, perbaikan lampu PJU jl Sukarno Hatta https://t.co/VdDtdCY…",,Ya,,
"RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC PJU, perbaikan lampu PJU jl Rumah Sakit https://t.co/jHrc2WSiNW",,Ya,,
"RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC PJU, perbaikan lampu hight mast jl Jend Sudirman https://t.co/…",,Ya,,
"RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC PJU, perbaikan lampu PJU jl LLRE Martadinata (jl Riau) https:/…",,Ya,,
"RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC Bojonagara, tindaklanjut lap gundukan pasir jl dr Otten https:…",,Ya,,
"Pohon terbelah vertikal dpn rmh jl. Pratista raya 30,Antapani. Mohon bantuan @diskamtam utk mengamankan. https://t.co/mbdzSG09Uk",Ya,,,
@dbmpkotabdg @DiskominfoBdg @ridwankamil @OdedMD @yossiirianto Jl. BKR juga donk sklian hmpir padam smua stiap mlm sgt membahayakan!!,Ya,,,
"@ridwankamil lapor, asal listrik 3394, beli yg 100rb. Nambah nya jd 9695, jd hrg listrik brp? 100rb kok dpet 6304 pulsanya....kmh Pak?",Ya,,,
"@dbmpkotabdg selamat pagi, maaf mau tanya NPWP BBMP kota bandung berapa ya? untuk membuat EFaktur untuk pekerjaan di DBMP kota bandung trims",,,Ya,
"@ridwankamil @nofidiekaputera @onisumardjono1Gober Kb Jrk siap tmpur mnghlau sgl bntk smpah ,Mlya skl pek. Nda. Trim https://t.co/N1CwapwjJd",,,Ya,
RT @nurah_nurjannah: Pak @ridwankamil saya mau tanya naha bikin ktp jang adi sya jeung surat kematian teth sya kdu pake pajak bumi sagala??…,,,Ya,
@dbmpkotabdg  pak @ridwankamil   pak sy udah lapor hampir 1 bln tp tidak ada tindakannya  pju di jln cipamokolan depan TB Saluyu  mati,Ya,,,
"RT @pdkebersihanbdg: Petugas membersihkan tumpukan smpah di Jl. Tamansari, mari disiplin dgn menjga lingkungan tetap bersih @ridwankamil ht…",,Ya,,
"RT @pdkebersihanbdg: Petugas membersihkan tumpukan smpah di Jl. Tamansari, mari disiplin dgn menjga lingkungan tetap bersih @ridwankamil ht…",,Ya,,
"RT @pdkebersihanbdg: Petugas membersihkan tumpukan smpah di Jl. Tamansari, mari disiplin dgn menjga lingkungan tetap bersih @ridwankamil ht…",,Ya,,
"RT @pdkebersihanbdg: Petugas membersihkan tumpukan smpah di Jl. Tamansari, mari disiplin dgn menjga lingkungan tetap bersih @ridwankamil ht…",,Ya,,
@ridwankamil pak orang stress ini meresahkan suka lempar benda ke jalan lokasi:pasteur sebrang hotel aston @infobdg https://t.co/IdBqdpFrhK,Ya,,,
Guntoro : Pembangunan Fly Over di Bandung Ditarget 2016 https://t.co/CSW7XCcYf5 @infobdg @infobandung @ridwankamil @dbmpkotabdg @aheryawan,,,Ya,
@infobdg @ridwankamil pak mhn tndkan'y ats prkir liar d jl pasirkaliki ada petugas brjaga pun tdk d tndak lnjuti https://t.co/loLzvSZ3lg,Ya,,,
#suaraBDG via @RikyThemest : parkir liar di jl pasirkaliki ada petugas brjaga pun tdk d tndak lnjuti cc @ridwankamil https://t.co/1nfgTCIChc,Ya,,,
RT @infobdg: #suaraBDG via @RikyThemest : parkir liar di jl pasirkaliki ada petugas brjaga pun tdk d tndak lnjuti cc @ridwankamil https://t…,Ya,,,
RT @infobdg: #suaraBDG via @RikyThemest : parkir liar di jl pasirkaliki ada petugas brjaga pun tdk d tndak lnjuti cc @ridwankamil https://t…,Ya,,,
RT @infobdg: #suaraBDG via @RikyThemest : parkir liar di jl pasirkaliki ada petugas brjaga pun tdk d tndak lnjuti cc @ridwankamil https://t…,Ya,,,
Suka pengen ngegambar 'cantik' di mobil yang parkir sembarangan #entahmengapa  https://t.co/FeuJbJ7w2s,,,Ya,
@infobdg @RikyThemest @ridwankamil seharusnya yg punya usaha harus punya lahan parkir yg memadai,Ya,,,
"@ridwankamil kang jl kebon pines yg di Tangkuban Parahu gak ada Penerangan pisan jadi kalo malem teh scarry, pangmasangkeun lampu jalan nya",Ya,,,
"@ABramantijo @dbmpkotabdg @ridwankamil @OdedMD @Kec_Astanaanyar Kalo kali, saluran/gorong2 tdk tersumbat, niscaya dampak msm hujan tdk besar",,,Ya,
"RT @DarwinK07883801: @ABramantijo @dbmpkotabdg @ridwankamil @OdedMD @Kec_Astanaanyar Kalo kali, saluran/gorong2 tdk tersumbat, niscaya damp…",,,Ya,
RT @marry_jean #InfoLalin Lampu warna merah di TL Dago-Sulanjana-Diponegoro tidak berfungsi cc @dishub_kotabdg  https://t.co/7g5KUvvdkU,Ya,,,
"@ridwankamil @pjudbmpbdg @DiskominfoBdg mohon perhatian pju di sepanjang jl trs cigadung mati total ,, hatur nuhun https://t.co/e26uJWjT66",Ya,,,
RT @infobdg: #suaraBDG via @RikyThemest : parkir liar di jl pasirkaliki ada petugas brjaga pun tdk d tndak lnjuti cc @ridwankamil https://t…,Ya,,,
"@dbmpkotabdg RT @abin190880 : mohon perhatian pju di sepanjang jl trs cigadung mati total ,, hatur nuhun https://t.co/ZqSThLWNrn",Ya,,,
"Punteun PJU sktr dpn SD bbk sentral&amp;dpn kntor klrhn sukapura pada mati,serta lampunya redup@ridwankamil @dbmpkotabdg @diskamtam @Kec_Kircon",Ya,,,
Udh lapor berkali2 k @pdamtirtawening tpi g ditanggapin.Air ledeng bocor ke jalan di jln.sindang sari 1 antapani. Gmn nih kang @ridwankamil,Ya,,,
Hati-hati untuk pengendara sepeda motor yg melewati arah cipaganti cc @ridwankamil https://t.co/7y14ltqUI5,,,Ya,
"Larangan merokok dalam angkot &amp; aturan wajib sedia tong sampah udah ditarik ya, pak @ridwankamil ? asap rokok supirnya nyesek euy :(",Ya,,,
"@ridwankamil @PRFMnews @tmc_restabesbdg d depan tegalega, angkit naek trotoar, polisi tak berbuat apa2,, https://t.co/2k45tjzTnC",Ya,,,
Knp Mesin Mobil Sering Mati Di Atas Rel KA? *Penting!  ??@ridwankamil @DiskominfoBdg @ppkadaop2bd @IWGinting @KAI121 https://t.co/8ZqoK9oyJT,,,Ya,
RT @aksirelawanbdg: Knp Mesin Mobil Sering Mati Di Atas Rel KA? *Penting!  ??@ridwankamil @DiskominfoBdg @ppkadaop2bd @IWGinting @KAI121 htt…,,,Ya,
"@pdamtirtawening mhn di cek sgera no.00906610020, air tdk keluar, ini https://t.co/gCeRAktrta.087822294555.",Ya,,,
RT @aksirelawanbdg: Knp Mesin Mobil Sering Mati Di Atas Rel KA? *Penting!  ??@ridwankamil @DiskominfoBdg @ppkadaop2bd @IWGinting @KAI121 htt…,,,Ya,
"RT @bhaktislam: @ridwankamil @PRFMnews @tmc_restabesbdg d depan tegalega, angkit naek trotoar, polisi tak berbuat apa2,, https://t.co/2k45t…",Ya,,,
RT @aksirelawanbdg: Knp Mesin Mobil Sering Mati Di Atas Rel KA? *Penting!  ??@ridwankamil @DiskominfoBdg @ppkadaop2bd @IWGinting @KAI121 htt…,,,Ya,
"@pdamtirtawening@ridwankamil  00106700466, punten sudah seminggu air PDAM tidak mengalir. Mohon bantuannya segera...",Ya,,,
RT @aksirelawanbdg: Knp Mesin Mobil Sering Mati Di Atas Rel KA? *Penting!  ??@ridwankamil @DiskominfoBdg @ppkadaop2bd @IWGinting @KAI121 htt…,,,Ya,
RT @aksirelawanbdg: Knp Mesin Mobil Sering Mati Di Atas Rel KA? *Penting!  ??@ridwankamil @DiskominfoBdg @ppkadaop2bd @IWGinting @KAI121 htt…,,,Ya,
RT @nadyairfany: @ridwankamil pak cobain deh jam 6pagi lewat cicaheum macetnya ampun ampunan deh... ngga cocok pak ada terminal di lokasi c…,Ya,,,
RT @aksirelawanbdg: Knp Mesin Mobil Sering Mati Di Atas Rel KA? *Penting!  ??@ridwankamil @DiskominfoBdg @ppkadaop2bd @IWGinting @KAI121 htt…,,,Ya,
"RT @bhaktislam: @ridwankamil @PRFMnews @tmc_restabesbdg d depan tegalega, angkit naek trotoar, polisi tak berbuat apa2,, https://t.co/2k45t…",Ya,,,
RT @aksirelawanbdg: Knp Mesin Mobil Sering Mati Di Atas Rel KA? *Penting!  ??@ridwankamil @DiskominfoBdg @ppkadaop2bd @IWGinting @KAI121 htt…,,,Ya,
"Mohon untuk disidak byk anak di bwh umur nongkrong/merokok/membawa motor di jln purnawarman, depan Bistro Lumiere @PRFMnews @Satpolppbdg",Ya,,,
RT @aksirelawanbdg: Knp Mesin Mobil Sering Mati Di Atas Rel KA? *Penting!  ??@ridwankamil @DiskominfoBdg @ppkadaop2bd @IWGinting @KAI121 htt…,,,Ya,
RT @aksirelawanbdg: Knp Mesin Mobil Sering Mati Di Atas Rel KA? *Penting!  ??@ridwankamil @DiskominfoBdg @ppkadaop2bd @IWGinting @KAI121 htt…,,,Ya,
"RT @YoPs86: Larangan merokok dalam angkot &amp; aturan wajib sedia tong sampah udah ditarik ya, pak @ridwankamil ? asap rokok supirnya nyesek e…",Ya,,,
"@dishub_kotabdg RT @puspa_zakaria: Lampu merah simpang dago mati,,arus lalin paburisat pa @ridwankamil",Ya,,,
RT @aksirelawanbdg: Knp Mesin Mobil Sering Mati Di Atas Rel KA? *Penting!  ??@ridwankamil @DiskominfoBdg @ppkadaop2bd @IWGinting @KAI121 htt…,,,Ya,
"Pa @ridwankamil sya tiap hari ka kampus lewat pasteur :(  @infobandung: Tahun Depan Kendaraan Lewat Pasteur akan Di https://t.co/FxXW22wd6F""",,,Ya,
RT @aksirelawanbdg: Knp Mesin Mobil Sering Mati Di Atas Rel KA? *Penting!  ??@ridwankamil @DiskominfoBdg @ppkadaop2bd @IWGinting @KAI121 htt…,,,Ya,
@yan_tiara @pdamtirtawening @PRFMnews coba saja pakai filter air https://t.co/2EvvaxMMoz Air keruh menjadi air minum. Rp260rb. Terjamin!,,,Ya,
RT @aksirelawanbdg: Knp Mesin Mobil Sering Mati Di Atas Rel KA? *Penting!  ??@ridwankamil @DiskominfoBdg @ppkadaop2bd @IWGinting @KAI121 htt…,,,Ya,
RT @aksirelawanbdg: Knp Mesin Mobil Sering Mati Di Atas Rel KA? *Penting!  ??@ridwankamil @DiskominfoBdg @ppkadaop2bd @IWGinting @KAI121 htt…,,,Ya,
RT @aksirelawanbdg: Knp Mesin Mobil Sering Mati Di Atas Rel KA? *Penting!  ??@ridwankamil @DiskominfoBdg @ppkadaop2bd @IWGinting @KAI121 htt…,,,Ya,
RT @aksirelawanbdg: Knp Mesin Mobil Sering Mati Di Atas Rel KA? *Penting!  ??@ridwankamil @DiskominfoBdg @ppkadaop2bd @IWGinting @KAI121 htt…,,,Ya,
RT @aksirelawanbdg: Knp Mesin Mobil Sering Mati Di Atas Rel KA? *Penting!  ??@ridwankamil @DiskominfoBdg @ppkadaop2bd @IWGinting @KAI121 htt…,,,Ya,
RT @aksirelawanbdg: Knp Mesin Mobil Sering Mati Di Atas Rel KA? *Penting!  ??@ridwankamil @DiskominfoBdg @ppkadaop2bd @IWGinting @KAI121 htt…,,,Ya,
