TweetProcessed,Keluhan,Respon,Other
bpk dompet sy dcopet d angkot cheumldng pk spta copeta bkrjasama sm spr agkta pak skg sy jd wanita tnp identitas pak,1.0,0.0,0.0
2112 urc pju baik lampu pju jl ir h djuanda,0.0,0.0,1.0
2112 urc pju baik lampu pju jl rumah sakit,0.0,1.0,0.0
jln jend sudirman dkt suryani ad cafe mbl parkir dijln n naek trotoar pdhl ad rambu dilrng parkir kotabdg,1.0,0.0,0.0
cc hatihati tweeps rt tikung jl wastu kencana belok arah gd paku,0.0,0.0,1.0
rt damkar cc hatihati tweeps rt tikung jl wastu kencana belok arah gd paku htt,0.0,0.0,1.0
dari nmr langgan 00a06600370 margahayu raya jii37 mohon info beberapa hari air keluar,1.0,0.0,0.0
lapor pak kmaren malem 20desember temen kena bacok 7motor jl lodayalapangan soft ball,1.0,0.0,0.0
rt 2112 urc bojonagara tindaklanjut lap gundu pasir jl dr otten https,0.0,1.0,0.0
rt seperti ini kondisi jl tuju tpa mohon maaf atas nyaman,1.0,0.0,0.0
rt seperti ini kondisi jl tuju tpa mohon maaf atas nyaman,1.0,0.0,0.0
rt di informsikn kpd wargi bandung atas ktrlambatan pengngktan sampah ditps krn jln arah tpa mcet cc ht,0.0,0.0,1.0
kang hatur nuhun jalur lalin cipaganti cat skr jd enak klo dinas malem jalan lbh jelas krn mencrang jalur lalinnya,0.0,0.0,1.0
rt di informsikn kpd wargi bandung atas ktrlambatan pengngktan sampah ditps krn jln arah tpa mcet cc ht,0.0,0.0,1.0
rt seperti ini kondisi jl tuju tpa mohon maaf atas nyaman,0.0,0.0,1.0
rt 1512 giat jangkau pmks jl peta empat kopo oleh tranmas rukendi amp urc pukul 1030 https,0.0,1.0,0.0
rt lapor pak mobil ni 2x buang sampah pinggir jalan panjang jalan sersan bajuri no 24,1.0,0.0,0.0
knpa air pdam daerah tubagus ismail depan rt05 rw08 galir dah 2 minggu,1.0,0.0,0.0
rt sate pak iyeu jalmi ngabalaan jalan kota bandungngabagikeun pamplet awur2 jalan,1.0,0.0,0.0
apa kabar air ngalir k mana di rw 11 cicaheum teu aya bae bdg,1.0,0.0,0.0
pasar suci baru masuk udah sambut bak sampah gede masa kaya gin ga pikir ngeganggu ngga,1.0,0.0,0.0
rt chm apa kabar air ngalir k mana di rw 11 cicaheum teu aya bae bdg,1.0,0.0,0.0
pak program bangun bandung timur tahun 2016 apa,0.0,0.0,1.0
hari akan jadi hari esok dinkes,0.0,0.0,1.0
nuhun tos ngocor meski cuma malam yg punya air,0.0,0.0,1.0
rt 2112 urc pju baik lampu hight mast tegallega,0.0,1.0,0.0
rt 2112 urc pju baik lampu pju jl geusan ulun,0.0,1.0,0.0
rt 2112 urc pju baik lampu pju jl ir h djuanda,0.0,1.0,0.0
rt 2112 urc pju baik lampu pju jl jamika,0.0,1.0,0.0
rt 2112 urc pju baik lampu pju jl sukarno hatta,0.0,1.0,0.0
rt 2112 urc pju baik lampu pju jl rumah sakit,0.0,1.0,0.0
rt 2112 urc pju baik lampu hight mast jl jend sudirman,0.0,1.0,0.0
rt 2112 urc pju baik lampu pju jl llre martadinata jl riau https,0.0,1.0,0.0
rt 2112 urc bojonagara tindaklanjut lap gundu pasir jl dr otten https,0.0,1.0,0.0
pohon belah vertikal dpn rmh jl pratista raya 30antapani mohon bantu utk aman,1.0,0.0,0.0
jl bkr donk sklian hmpir padam smua stiap mlm sgt bahaya,1.0,0.0,0.0
lapor asal listrik 3394 beli yg 100rb nambah nya jd 9695 jd hrg listrik brp 100rb kok dpet 6304 pulsanyakmh pak,1.0,0.0,0.0
selamat pagi maaf mau tanya npwp bbmp kota bandung berapa buat efaktur kerja dbmp kota bandung trims,0.0,0.0,1.0
kb jrk siap tmpur mnghlau sgl bntk smpah mlya skl pek nda trim,0.0,0.0,1.0
rt nurjannah pak mau tanya naha bikin ktp jang adi sya jeung surat mati teth sya kdu pake pajak bumi sagala,0.0,0.0,1.0
pak pak sy udah lapor hampir 1 bln tp tindak pju jln cipamokolan depan tb saluyu mati,1.0,0.0,0.0
rt tugas bersih tumpu smpah jl tamansari disiplin dgn menjga lingkung tetap bersih ht,0.0,1.0,0.0
rt tugas bersih tumpu smpah jl tamansari disiplin dgn menjga lingkung tetap bersih ht,0.0,1.0,0.0
rt tugas bersih tumpu smpah jl tamansari disiplin dgn menjga lingkung tetap bersih ht,0.0,1.0,0.0
rt tugas bersih tumpu smpah jl tamansari disiplin dgn menjga lingkung tetap bersih ht,0.0,1.0,0.0
pak orang stress resah suka lempar benda jalan lokasipasteur sebrang hotel aston,1.0,0.0,0.0
guntoro bangun fly over bandung target 2016,0.0,0.0,1.0
pak mhn tndkany ats prkir liar d jl pasirkaliki tugas brjaga tdk d tndak lnjuti,1.0,0.0,0.0
suarabdg via parkir liar jl pasirkaliki tugas brjaga tdk d tndak lnjuti cc,1.0,0.0,0.0
rt suarabdg via parkir liar jl pasirkaliki tugas brjaga tdk d tndak lnjuti cc,1.0,0.0,0.0
rt suarabdg via parkir liar jl pasirkaliki tugas brjaga tdk d tndak lnjuti cc,1.0,0.0,0.0
rt suarabdg via parkir liar jl pasirkaliki tugas brjaga tdk d tndak lnjuti cc,1.0,0.0,0.0
suka ken ngegambar cantik mobil parkir sembarang entahmengapa,0.0,0.0,1.0
yg punya usaha punya lahan parkir yg pada,1.0,0.0,0.0
kang jl kebon pines yg tangkuban parahu gak terang pis jadi kalo malem teh scarry pangmasangkeun lampu jalan nya,1.0,0.0,0.0
astanaanyar kalo kali salurangorong2 tdk sumbat niscaya dampak msm hujan tdk besar,0.0,0.0,1.0
rt astanaanyar kalo kali salurangorong2 tdk sumbat niscaya damp,0.0,0.0,1.0
rt jean infolalin lampu warna merah tl dagosulanjanadiponegoro fungsi cc kotabdg,1.0,0.0,0.0
mohon perhati pju panjang jl trs cigadung mati total hatur nuhun,1.0,0.0,0.0
rt suarabdg via parkir liar jl pasirkaliki tugas brjaga tdk d tndak lnjuti cc,1.0,0.0,0.0
rt mohon perhati pju panjang jl trs cigadung mati total hatur nuhun,1.0,0.0,0.0
punteun pju sktr dpn sd bbk sentralampdpn kntor klrhn sukapura matiserta lampu redup kircon,1.0,0.0,0.0
udh lapor berkali2 k tpi g ditanggapinair ledeng bocor jalan jlnsindang sari 1 antapani gmn nih kang,1.0,0.0,0.0
hatihati kendara sepeda motor yg lewat arah cipaganti cc,0.0,0.0,1.0
larang rokok angkot amp atur wajib sedia tong sampah udah tarik pak asap rokok supirnya nyesek euy,1.0,0.0,0.0
restabesbdg d depan tegalega angkit naek trotoar polisi tak buat apa2,1.0,0.0,0.0
knp mesin mobil sering mati di atas rel ka penting,0.0,0.0,1.0
rt knp mesin mobil sering mati di atas rel ka penting htt,0.0,0.0,1.0
mhn cek sgera no00906610020 air tdk keluar,1.0,0.0,0.0
rt knp mesin mobil sering mati di atas rel ka penting htt,0.0,0.0,1.0
rt restabesbdg d depan tegalega angkit naek trotoar polisi tak buat apa2,1.0,0.0,0.0
rt knp mesin mobil sering mati di atas rel ka penting htt,0.0,0.0,1.0
00106700466 punten minggu air pdam alir mohon bantu segera,1.0,0.0,0.0
rt knp mesin mobil sering mati di atas rel ka penting htt,0.0,0.0,1.0
rt knp mesin mobil sering mati di atas rel ka penting htt,0.0,0.0,1.0
rt pak cobain deh jam 6pagi lewat cicaheum macet ampun ampun deh ngga cocok pak terminal lokasi c,1.0,0.0,0.0
rt knp mesin mobil sering mati di atas rel ka penting htt,0.0,0.0,1.0
rt restabesbdg d depan tegalega angkit naek trotoar polisi tak buat apa2,1.0,0.0,0.0
rt knp mesin mobil sering mati di atas rel ka penting htt,0.0,0.0,1.0
mohon disidak byk anak bwh umur nongkrongmerokokmembawa motor jln purnawarman depan bistro lumiere,1.0,0.0,0.0
rt knp mesin mobil sering mati di atas rel ka penting htt,0.0,0.0,1.0
rt knp mesin mobil sering mati di atas rel ka penting htt,0.0,0.0,1.0
rt larang rokok angkot amp atur wajib sedia tong sampah udah tarik pak asap rokok supirnya nyesek e,1.0,0.0,0.0
kotabdg rt zakaria lampu merah simpang dago matiarus lalin paburisat pa,1.0,0.0,0.0
rt knp mesin mobil sering mati di atas rel ka penting htt,0.0,0.0,1.0
pa sya tiap hari ka kampus lewat pasteur tahun depan kendara lewat pasteur di,0.0,0.0,1.0
rt knp mesin mobil sering mati di atas rel ka penting htt,0.0,0.0,1.0
tiara coba pakai filter air air keruh jadi air minum rp260rb jamin,0.0,0.0,1.0
rt knp mesin mobil sering mati di atas rel ka penting htt,0.0,0.0,1.0
rt knp mesin mobil sering mati di atas rel ka penting htt,0.0,0.0,1.0
rt knp mesin mobil sering mati di atas rel ka penting htt,0.0,0.0,1.0
rt knp mesin mobil sering mati di atas rel ka penting htt,0.0,0.0,1.0
rt knp mesin mobil sering mati di atas rel ka penting htt,0.0,0.0,1.0
rt knp mesin mobil sering mati di atas rel ka penting htt,0.0,0.0,1.0
rt knp mesin mobil sering mati di atas rel ka penting htt,0.0,0.0,1.0
pak mau prewed taman taman inovasi bapak boleh apa jones follower bapak ga santet pak,0.0,0.0,1.0
pak mau prewed taman taman inovasi bapak boleh apa jones follower bapak ga santet pak,0.0,0.0,1.0
rt pak cobain deh jam 6pagi lewat cicaheum macet ampun ampun deh ngga cocok pak terminal lokasi c,1.0,0.0,0.0
pak mau prewed taman taman inovasi bapak boleh apa jones follower bapak ga santet pak,0.0,0.0,1.0
00106700466 punten minggu air pdam alir mohon bantu segera,1.0,0.0,0.0
mirip payung yak tapi beneran tumbler kok hihihihi,0.0,0.0,1.0
rt mirip payung yak tapi beneran tumbler kok hihihihi,0.0,0.0,1.0
pak adik yg sd dapet dana bsm 450rbtp sama sekolah potong biaya ntah apa jd dapetnya cuma 140rbitu pak,1.0,0.0,0.0
nah makanya kalo pintu rel udh mau nutup jgn terobos kalo msh bandel tanggung sndiri akibat,0.0,0.0,1.0
rt knp mesin mobil sering mati di atas rel ka penting htt,0.0,0.0,1.0
rt nah makanya kalo pintu rel udh mau nutup jgn terobos kalo msh bandel tanggung sndiri akibat,0.0,0.0,1.0
2212 urc pju aman tiang lampu pju jl kopo rs imanuel,0.0,1.0,0.0
rt 2212 urc pju baik lampu pju jl cicukang,0.0,1.0,0.0
rt knp mesin mobil sering mati di atas rel ka penting htt,0.0,0.0,1.0
rt deden punteun pju sktr dpn sd bbk sentralampdpn kntor klrhn sukapura matiserta lampu redup,1.0,0.0,0.0
hatur nhn atas perbaikn pju d jl sasakgantung kel cikawao kereen,0.0,0.0,1.0
rt 2212 urc pju baik lampu pju jl saripohaci,0.0,1.0,0.0
rt 2212 urc pju baik lampu pju jl sasak gantung,0.0,1.0,0.0
rt 2212 urc pju baik lampu pju jl cicukang,0.0,1.0,0.0
rt 2212 urc pju baik lampu pju jl bima,0.0,1.0,0.0
rt 2212 urc pju baik lampu pju jl tamansari,0.0,1.0,0.0
rt 2212 urc pju aman tiang lampu pju jl kopo rs imanuel,0.0,1.0,0.0
moga buka mata yg suka langgar pdhl inti tinggal taat atur tunggu kereta lewat kan mudah,0.0,0.0,1.0
rt moga buka mata yg suka langgar pdhl inti tinggal taat atur tunggu kereta lewat kan mudah https,0.0,0.0,1.0
00106700466 punten minggu air pdam alir mohon bantu segera,1.0,0.0,0.0
rt knp mesin mobil sering mati di atas rel ka penting htt,0.0,0.0,1.0
rt knp mesin mobil sering mati di atas rel ka penting htt,0.0,0.0,1.0
masih laku ga kang emil perda no 11 thn 2005 kalo sosialisasi kotabdg,0.0,0.0,1.0
pa wali angkot stasiunledeng ugalugalan kan sieun tadi ge tijengkang angkot,1.0,0.0,0.0
rt bdg kumuh kaki lima empat jl jakarta kircon engga bgt amp risih ama jablay to,1.0,0.0,0.0
rt sate pak iyeu jalmi ngabalaan jalan kota bandungngabagikeun pamplet awur2 jalan,0.0,0.0,1.0
sktr 1 jm yg lalu sy jd korban tabrak dgn sengaja o angkot caringin sdg serang d 1993 ca daerah bojong cijerah,1.0,0.0,0.0
kang yg jual obat jentik nyamuk maksa aja anak kosan sekeloa paksa lg padahal udh bilang ga mau,1.0,0.0,0.0
saya yg sdg kendara motor tabrak arah belakang 2 kali untun angkot tsb restabesbdg,1.0,0.0,0.0
rt knp mesin mobil sering mati di atas rel ka penting htt,0.0,0.0,1.0
telah tabrak dgn sengaja supir angkot tsb keluar amp beberapa kali hendak pukul restabesbdg,1.0,0.0,0.0
rt 2212 urc cibeunying tangan jln amblas belok jl pajajaran https,0.0,1.0,0.0
rt 2212 urc gedebage lanjut eru salur jl sukarno hatta https,0.0,1.0,0.0
rt 2212 urc bojonagara lanjut pasang ubin difabel jl cicendo https,0.0,1.0,0.0
rt 2212 urc bojonagara baik jl dr otten 1,0.0,1.0,0.0
rt 2212 urc bojonagara baik jl dr otten 2,0.0,1.0,0.0
suarabdg via lampu merah empat ajar pejuangtalagabodas bbrp hari mati cc kotabdg,1.0,0.0,0.0
rt 2212 urc bojonagara lanjut pngerukan salur jl sukawarna baru https,0.0,1.0,0.0
rt 2212 urc bojonagara angkut sendimen jl sukawarna baru,0.0,1.0,0.0
rt suarabdg via lampu merah empat ajar pejuangtalagabodas bbrp hari mati cc kotabdg,1.0,0.0,0.0
rt suarabdg via lampu merah empat ajar pejuangtalagabodas bbrp hari mati cc kotabdg,1.0,0.0,0.0
tasyakur adiwiyata nasional sekolah integritas milad 28 maulid nabi bandung,0.0,0.0,1.0
pa bapak suka herey ajah bapak banyak piknik yah pa,0.0,0.0,1.0
rt knp mesin mobil sering mati di atas rel ka penting htt,0.0,0.0,1.0
penasaran knp seperti jl pajajaran udah beberapa kali ambles parah,1.0,0.0,0.0
rt 2212 urc karees baik jl ahmad yani,0.0,1.0,0.0
rt 2212 urc karees lanjut eru salur jl sriwijaya,0.0,1.0,0.0
cc mhn pangkas krn tutup pju rawan lok jl sampurna sbrang kantor lurah pasteur,1.0,0.0,0.0
naik angkot bandung nahan2 hati kang bener2 nguji iman ngetem nya apalagi area kalapa sabar,1.0,0.0,0.0
hatur nuhun dbmp lampu jln merdeka parantos sae indah pis disarengan ku cai solokan nu ngalir bersih,0.0,0.0,1.0
rt hatur nuhun dbmp lampu jln merdeka parantos sae indah pis disarengan ku cai solokan nu ngalir bersih h,0.0,0.0,1.0
kang instagram umum 1 larang masuk teras cikapundung jln siliwangi krn buka unt,0.0,0.0,1.0
hari akan jadi hari esok dinkes,0.0,0.0,1.0
pak emil pju jlpahlawan deket kampus lp31 mati wae pak gelap rawan kecelakaanbegal haturnuhun,1.0,0.0,0.0
rt kang instagram umum 1 larang masuk teras cikapundung jln siliwangi krn buka unt,0.0,0.0,1.0
air pdam daerah tb ismail depan rt05 rw08 2minggu ngak ngalir padahal lapor pdam,1.0,0.0,0.0
rt lapor pak mobil ni 2x buang sampah pinggir jalan panjang jalan sersan bajuri no 24,1.0,0.0,0.0
rt air pdam daerah tb ismail depan rt05 rw08 2minggu ngak ngalir padahal lap,1.0,0.0,0.0
rt air pdam daerah tb ismail depan rt05 rw08 2minggu ngak ngalir padahal lap,1.0,0.0,0.0
saya mau lapor pak tlg trafick light dijln moch toha dpn rs sartika asih mati udh lama tlg segera dibtulkan karna rawan pak,1.0,0.0,0.0
rt 2212 urc cibeunying lanjut eru sal jl veteran jl sunda https,0.0,1.0,0.0
rt knp mesin mobil sering mati di atas rel ka penting htt,0.0,0.0,1.0
rt 2212 urc cibeunying lanjut eru sal jl veteran jl sunda https,0.0,1.0,0.0
punten pak ide utk indah kota bandung pohon2 yg umur mngkin pahat utk jadi objek wisata,0.0,0.0,1.0
2 akhir tumpang naik depan mobil angkot nya halang mobil tengah jalan jalur kiri cc mentalillness,1.0,0.0,0.0
rt knp mesin mobil sering mati di atas rel ka penting htt,0.0,0.0,1.0
kang tiap lewat tg lega ko sering banyak sampah kang ga kaya dulu kang meski dlu ga parah kang,1.0,0.0,0.0
assalamualaikum pa warga jlntrsan hol rt0309 babakan ciparay msh mmbuang sampah sungai krna blm fasilitas mksh pa,1.0,0.0,0.0
rt knp mesin mobil sering mati di atas rel ka penting htt,0.0,0.0,1.0
via cai pdam maha jlpurwakarta v antapani teu acan wae ngocor punten cc,1.0,0.0,0.0
00206360870 no meter pdam jlpurwakarta v no3 antapani,0.0,0.0,1.0
rt knp mesin mobil sering mati di atas rel ka penting htt,0.0,0.0,1.0
pak bade lapor sulit sulit urus dokumen dukung u haji tingkat rw kedah kamana urgent,1.0,0.0,0.0
btp jalan trotoar banyak rusak gara2 minyak air dr warung tenda pdagang hrsnya pasang terpal plastik sbg alas,1.0,0.0,0.0
00206360870 no meter pdam jlpurwakarta v no3 antapani punten teu acan wae ngocorpunten kang,1.0,0.0,0.0
jlcikutra arah borma ga border yg batas jalan selokan bahkan pernah tel korban jiwa kapan baik,1.0,0.0,0.0
pulung yg tinggal roda jl asia afrika amp amen yg tangkap pak wali hukum push up,0.0,0.0,1.0
rt pulung yg tinggal roda jl asia afrika amp amen yg tangkap pak wali hukum push up https,0.0,0.0,1.0
rt pulung yg tinggal roda jl asia afrika amp amen yg tangkap pak wali hukum push up https,0.0,0.0,1.0
rt lapor pak mobil ni 2x buang sampah pinggir jalan panjang jalan sersan bajuri no 24,1.0,0.0,0.0
rt pulung yg tinggal roda jl asia afrika amp amen yg tangkap pak wali hukum push up https,0.0,0.0,1.0
kang emil nu gantengpntn rd ditrtibkn spnjng jln sbrng psr kirconbnyk mbl prkrsiangsorejd mct pisanditambah kreta lewat,1.0,0.0,0.0
rt lapor pak mobil ni 2x buang sampah pinggir jalan panjang jalan sersan bajuri no 24,1.0,0.0,0.0
rt mending tikung kang kalo diputusin alas detik kemudian jalan sama yg baru,0.0,0.0,1.0
rt knp mesin mobil sering mati di atas rel ka penting htt,0.0,0.0,1.0
rt pulung yg tinggal roda jl asia afrika amp amen yg tangkap pak wali hukum push up https,0.0,0.0,1.0
rt knp mesin mobil sering mati di atas rel ka penting htt,0.0,0.0,1.0
rebo ayeuna macetsing sabar ka sadayanawayahna usum pere kotabdg bdg bdg na dijagi,0.0,0.0,1.0
rt rebo ayeuna macetsing sabar ka sadayanawayahna usum pere kotabdg bdg,0.0,0.0,1.0
rt rebo ayeuna macetsing sabar ka sadayanawayahna usum pere kotabdg bdg,0.0,0.0,1.0
tiap libur sekolahlewat jln ah nasution lancar jayacoba tiap pagi kyk gin bussekolahjalurahnasution suarabdg,0.0,0.0,1.0
bangun belum di bongkar ktbdg situsaeur,0.0,0.0,1.0
tlng bantu pk pasok air jl sukapura gg pepaya tdk sdh 1bln lebih lapor selalu tdk tanggap,1.0,0.0,0.0
mohon bantu nyala lampu pju jlsalam depan no 51 amp taman super hero,1.0,0.0,0.0
0905 rt sinarjadi mohon bantu nyala kmbali pju jl salam dpn no 51 amp taman super hero,1.0,0.0,0.0
pak aman lalu lintas dekat sman 25 bandung buat macet gimana tugas polisi pak aman,1.0,0.0,0.0
rt 00206360870 no meter pdam jlpurwakarta v no3 antapani punten teu acan wae ngocorpunten,1.0,0.0,0.0
rt 00106700466 punten minggu air pdam alir mohon bantu segera,1.0,0.0,0.0
pak apa bnr buang sampah tps sdg kendalakrn tmpt sdh hmpr 3 minggu sampah tdk ambil,1.0,0.0,0.0
0949 didi via wa lampu merah simpang dago arah selatan 3 hari mati fungsi cc kotabdg,1.0,0.0,0.0
pikir sama solusinyapasar jam 10 pagi msh buka jalan daerah empat mohtoha,1.0,0.0,0.0
tp pd panjang sim keliling biaya yg tarik sim a rp 170rb amp sim c rp 165rb langgar atur 2,1.0,0.0,0.0
empat malabar gatsu lampulalin udah lama mati jadi suka macet,1.0,0.0,0.0
kang per4an cikutra amp jln suci batang pohon na nutupan lampu merah amp pju mohon perhati,1.0,0.0,0.0
rt kang per4an cikutra amp jln suci batang pohon na nutupan lampu merah amp pju mohon p,1.0,0.0,0.0
pa punten ken saran du kan suka bis damri ga bikin shelter aja biar makin rapih pa nuhun pa,0.0,0.0,1.0
anak naik kelas 8 kelas 11 tp raport asli dr dinas didik selesai,1.0,0.0,0.0
rt 0949 didi via wa lampu merah simpang dago arah selatan 3 hari mati fungsi cc kotabdg,1.0,0.0,0.0
rt pak benar kalo buang sampah kr tps pungut biaya,0.0,0.0,1.0
si mbl keren d 333 boy br buang puntung jln dago,1.0,0.0,0.0
kapan yah punya kepala daerah twitteran kaya lapor langsung kalo apa apa,0.0,0.0,1.0
rt si mbl keren d 333 boy br buang puntung jln dago,1.0,0.0,0.0
kang babakan sari kircon rt0911 air pdam ga alir mohon perhati krn tiap mlm begadang tp air,1.0,0.0,0.0
rt lapor pak mobil ni 2x buang sampah pinggir jalan panjang jalan sersan bajuri no 24,1.0,0.0,0.0
kang punten naha ieu kec buah batu ngurus ktp ge meni hese senin nepi ka ayeuna teu wae ngarekam alas error wae,1.0,0.0,0.0
rt tugas bersih tumpu smpah jl tamansari disiplin dgn menjga lingkung tetap bersih ht,0.0,1.0,0.0
rt si mbl keren d 333 boy br buang puntung jln dago,1.0,0.0,0.0
